tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1/1/2016 0:00,1/1/2016 0:10,-73.9796524,40.77611923,-73.96468353,40.80675507
1/1/2016 0:01,1/1/2016 0:18,-73.78180695,40.64486313,-73.93797302,40.72632599
1/1/2016 0:01,1/1/2016 0:07,-73.96527863,40.80104065,-73.94747925,40.81517029
1/1/2016 0:01,1/1/2016 0:13,-73.97962952,40.74325562,-73.91187286,40.76462936
1/1/2016 0:01,1/1/2016 0:20,-73.98442078,40.76723862,-73.97859955,40.75426102
1/1/2016 0:01,1/1/2016 0:26,-74.01099396,40.70887375,-73.98805237,40.74932098
1/1/2016 0:01,1/1/2016 0:04,-73.98074341,40.7469101,-73.99086761,40.75115967
1/1/2016 0:01,1/1/2016 0:05,-73.99197388,40.72647858,-74.00308228,40.72204971
1/1/2016 0:01,1/1/2016 0:19,-74.00213623,40.76063919,-73.97289276,40.74345016
1/1/2016 0:01,1/1/2016 0:17,-73.99497223,40.76023483,-74.00152588,40.7358551
1/1/2016 0:01,1/1/2016 0:23,-74.00226593,40.73036957,-73.95168304,40.77349854
1/1/2016 0:01,1/1/2016 0:06,-73.98082733,40.7796402,-73.97141266,40.7985878
1/1/2016 0:01,1/1/2016 0:05,-73.99807739,40.73796844,-74.0041275,40.74279022
1/1/2016 0:01,1/1/2016 0:36,-73.99944305,40.72983551,-73.96417999,40.80315399
1/1/2016 0:01,1/1/2016 0:08,-73.93270874,40.75286102,-73.96361542,40.75764084
1/1/2016 0:01,1/1/2016 0:24,-73.98168945,40.76839066,-73.97975159,40.75553894
1/1/2016 0:01,1/1/2016 0:08,-74.00348663,40.74156952,-74.00235748,40.72634125
1/1/2016 0:01,1/1/2016 0:07,-73.97794342,40.78367615,-73.95558929,40.77344131
1/1/2016 0:01,1/1/2016 0:11,-73.99256897,40.73961639,-73.99531555,40.72181702
1/1/2016 0:01,1/1/2016 0:18,-73.97776031,40.75228119,-73.95682526,40.76807022
1/1/2016 0:01,1/1/2016 0:22,-73.99425507,40.73199463,-73.9786377,40.75138855
1/1/2016 0:01,1/1/2016 0:09,-73.98516083,40.74452972,-73.96546173,40.76285172
1/1/2016 0:01,1/1/2016 0:05,-73.98229218,40.75133133,-73.99134064,40.75033951
1/1/2016 0:01,1/1/2016 0:38,-73.99230194,40.74929047,-74.32032776,40.72052383
